id	term	variants	translation	stem	forms	note	category	status
active_event	Active Event		активна подія			активна ігрова подія	Механіки	
breaker	Breaker		руйнівник			титул або роль персонажа у випробуванні	Класи	
slayer	Slayer		винищувач			титул або роль персонажа у випробуванні	Класи	
one_shot	One-Shot		одна спроба			режим або тип залікової спроби	Механіки	
run	Run	Runs	проходження			окреме проходження гри	Механіки	
seed_event	Seed Event	Seed Events	подія зерна генерації			події, пов'язані з ігровим зерном генерації	Механіки	
class_combination	class combination		поєднання класів			поєднання класів персонажів	Механіки	
denizen	Denizen	Denizens	мешканець			мешканці ігрового світу в кодексі	Істоти	
record	Record	RECORDS	рекорд			ігрові рекорди	Механіки	
recipe_chart	Recipe Chart		таблиця рецептів			таблиця алхімічних рецептів	Механіки	
stats	Stats		характеристики			характеристики істоти або предмета	Механіки	
damage_type	Damage Type	Damage-Types	тип шкоди			тип завданої шкоди	Механіки	
effectiveness	Effectiveness		ефективність			ефективність типу шкоди	Механіки	
ability	Ability	ABILITIES	здібність			здібності істоти або персонажа	Механіки	
lore_point	Lore Point	LORE POINTS	очко знань			очки для відкриття відомостей кодексу	Механіки	
undiscovered	Undiscovered		невідкритий			стан ще не відкритого запису кодексу	Механіки	
pwr	PWR		ПОТ			скорочення від «потужність магії»; в оригіналі PWR	Механіки	
ac	AC	[AC]|[AC/Speed]	КЗ			скорочення від «клас захисту»; в оригіналі AC	Механіки	
spd	SPD		ШВД			скорочення від «швидкість»; в оригіналі SPD	Механіки	
humanoid	Humanoid	HUMANOIDS	гуманоїд			тип гуманоїдних істот	Істоти	
beastfolk	Beastfolk		звіролюд			тип звіролюдних істот	Істоти	
beast	Beast	BEASTS	звір			тип звіриних істот	Істоти	
demonic	Demonic	DEMONICS	демонічна істота			тип демонічних істот	Істоти	
construct	Construct	CONSTRUCTS|[Construct]	конструкт			тип штучно створених істот	Істоти	
elemental	Elemental	elementals	елементаль			тип стихійних істот	Істоти	
pts	PTS		ОЧК			скорочення від «очки»; в оригіналі PTS	Механіки	
total_completion	Total Completion		загальне завершення			загальний показник завершення кодексу	Механіки	
research	Research		Дослідження			дослідження записів кодексу	Механіки	
shop_sign	Shop Sign	SHOP SIGNS	вивіска крамниці			вивіски крамниць	Предмети	
preloading	Preloading		Попереднє завантаження			попереднє завантаження ресурсів	Механіки	
system_memory	system memory		системна пам'ять			системна пам’ять	Загальне	
among_us	Among Us		Серед нас			назва музичної композиції	Загальне	
fatal_shrine	Fatal Shrine		Згубне святилище			назва музичної композиції	Загальне	
tormented_souls	Tormented Souls		Змучені душі			назва музичної композиції	Загальне	
evil_returns	Evil Returns		Зло повертається			назва музичної композиції	Загальне	
friday_the_13th	Friday the 13th		П'ятниця, 13-те			назва музичної композиції	Загальне	
october_31st	October 31st		31 жовтня			назва музичної композиції	Загальне	
the_order_s_theme	The Order's Theme		Тема Ордену			назва музичної композиції	Загальне	
soul_rail	Soul Rail		Шлях душ			назва музичної композиції	Загальне	
echo	Echo		Відлуння			назва музичної композиції	Загальне	
ghost_town	Ghost Town		Місто-привид			назва музичної композиції	Загальне	
countdown	Countdown		Зворотний відлік			назва музичної композиції	Загальне	
untold_secrets	Untold Secrets		Нерозказані таємниці			назва музичної композиції	Загальне	
final_showdown	Final Showdown		Останнє протистояння			назва музичної композиції	Загальне	
living_in_the_dark	Living in the Dark		Життя в темряві			назва музичної композиції	Загальне	
silent_turmoil	Silent Turmoil		Тихе сум'яття			назва музичної композиції	Загальне	
look_out	Look Out		Стережіться!			назва музичної композиції	Загальне	
haunted_house	Haunted House		Будинок із привидами			назва музичної композиції	Загальне	
nebula	Nebula		Туманність			назва музичної композиції	Загальне	
strange_vision	Strange Vision		Дивне видіння			назва музичної композиції	Загальне	
the_crypt	The Crypt		Склеп			назва музичної композиції	Загальне	
haunted_by_screams	Haunted By Screams		Переслідуваний криками			назва музичної композиції	Загальне	
run_2	Run!		Тікай!			назва музичної композиції	Загальне	
cornered	Cornered		Загнаний у кут			назва музичної композиції	Загальне	
you_re_next	You're Next		Ти наступний			назва музичної композиції	Загальне	
into_the_depths	Into the Depths		У глибини			назва музичної композиції	Загальне	
the_backrooms	The Backrooms		Залаштунки			назва музичної композиції	Загальне	
metamorphosis	Metamorphosis		Метаморфоза			назва музичної композиції	Загальне	
carnival_freaks	Carnival Freaks		Карнавальні виродки			назва музичної композиції	Загальне	
poltergeist	Poltergeist		Полтергейст			назва музичної композиції	Загальне	
abyss	Abyss		Безодня			назва музичної композиції	Загальне	
danger	Danger	dangerous	Небезпека			назва музичної композиції	Загальне	
growing_shadows	Growing Shadows		Згущення тіней			назва музичної композиції	Загальне	
extinction	Extinction		Вимирання			назва музичної композиції	Загальне	
sleigh_bells	Sleigh Bells		Дзвіночки саней			назва музичної композиції	Загальне	
deck_the_halls	Deck the Halls		Прикрасьте зали			назва музичної композиції	Загальне	
snow_wonders	Snow Wonders		Снігові дива			назва музичної композиції	Загальне	
jingle_bells	Jingle Bells		Дзвін бубонців			назва музичної композиції	Загальне	
underneath_the_christmas_tree	Underneath the Christmas Tree		Під різдвяною ялинкою			назва музичної композиції	Загальне	
god_rest_ye_merry_gentlemen	God Rest Ye Merry Gentlemen		Хай Бог вас звеселить, панове			назва музичної композиції	Загальне	
disintegrating	Disintegrating		Розпад			назва музичної композиції	Загальне	
santa_s_tricks	Santa's Tricks		Витівки Санти			назва музичної композиції	Загальне	
winter_trouble	Winter Trouble		Зимова халепа			назва музичної композиції	Загальне	
krampus_is_here	Krampus is Here		Крампус уже тут			назва музичної композиції	Загальне	
ice_land_part_1	Ice Land (Part 1)		Крижана земля (частина 1)			назва музичної композиції	Загальне	
holiday_macabre	Holiday Macabre		Моторошне свято			назва музичної композиції	Загальне	
silent_night	Silent Night		Тиха ніч			назва музичної композиції	Загальне	
carol_of_the_bells	Carol of the Bells		Щедрик			назва музичної композиції	Загальне	
angels_we_have_heard_on_high	Angels We Have Heard on High		Чули ми ангелів у височині			назва музичної композиції	Загальне	
ice_land_part_2	Ice Land (Part 2)		Крижана земля (частина 2)			назва музичної композиції	Загальне	
rudolph_the_red_nosed_reindeer	Rudolph the Red Nosed Reindeer		Рудольф, червононосий олень			назва музичної композиції	Загальне	
dance_of_the_sugar_plum_fairy	Dance of the Sugar Plum Fairy		Танець Феї Драже			назва музичної композиції	Загальне	
what_child_is_this	What Child is This		Що це за дитя?			назва музичної композиції	Загальне	
holiday_theme	Holiday Theme	holiday	Святкова тема			активна святкова тема	Механіки	
chill	Chill		Холод			здібність привида	Механіки	
haunt	Haunt		Переслідування			здібність привида	Механіки	
ghost	Ghost	ghosts	привид			привид	Істоти	
party_wipe	Party Wipe		Загибель групи			повна загибель групи	Механіки	
custom_seed	Custom Seed		Власне зерно			власне зерно генерації	Механіки	
seed	Seed		Зерно			зерно генерації світу	Механіки	
penniless_mode	Penniless Mode	Penniless-mode	Режим без грошей			режим без грошей	Механіки	
gold_pickup	gold pickup		підбирання золота			підбирання золота	Механіки	
penniless_achievement	Penniless Achievement		Досягнення без грошей			досягнення режиму без грошей	Механіки	
wins	Wins	Win	Перемоги			кількість перемог	Механіки	
losses	Losses		Поразки			кількість поразок	Механіки	
solo	Solo		Одиночна гра			одиночний режим гри	Механіки	
co_op	Co-op		Спільна гра			кооперативний режим гри	Механіки	
normal_difficulty	Normal Difficulty	Normal	Звичайна складність			звичайний рівень складності	Механіки	
citadel	Citadel		Цитадель			Цитадель	Локації	
depth	Depth		Глибина			глибина проходження підземелля	Механіки	
skeleton_key	skeleton key		універсальний ключ			універсальний ключ для замків	Предмети	
goggles	goggles		захисні окуляри			захисні окуляри	Предмети	
explosion	explosion		вибух			вибуховий ефект	Механіки	
res	RES	[RES]	ОПР			скорочення від «опір»; в оригіналі RES	Механіки	
rgn	RGN		РЕГ			скорочення від «регенерація»; в оригіналі RGN	Механіки	
wgt	WGT		ВАГ			скорочення від «вага»; в оригіналі WGT	Механіки	
bounty	bounty	[Bounty]	замовлення			завдання за винагороду	Механіки	
bounty_target	bounty target		ціль замовлення			ціль завдання за винагороду	Механіки	
effects_modifier	Effects Modifier		Модифікатор ефектів			модифікатор ефектів стану	Механіки	
expiry_time	expiry time		час завершення			час завершення події	Механіки	
one_shot_challenge	One-Shot Challenge	One-Shot\nChallenge	Випробування з однією спробою			випробування з єдиною спробою	Механіки	
unlimited_challenge	Unlimited Challenge	Unlimited\nChallenge	Випробування без обмежень			випробування без обмеження спроб	Механіки	
event_challenge	Event Challenge	Event\nChallenge	Подієве випробування			подієве випробування	Механіки	
connectivity	connectivity		з'єднання			стан мережевого з’єднання	Механіки	
event_update	Event Update		Оновлення події			оновлення ігрової події	Механіки	
weekly_set_dungeon	Weekly Set Dungeon	weekly set dungeons	Щотижневе задане підземелля			щотижневі підземелля з заданими умовами	Механіки	
event	Event		Подія			ігрова подія	Механіки	
lid	LID		LID			ідентифікатор сумісності збереження	Механіки	
attempt	attempt		спроба			спроба проходження випробування	Механіки	
scored_leaderboard_rank	scored leaderboard rank		місце в рейтингу за результатом			рейтингова позиція за результатом	Механіки	
myths_outcasts_dlc	Myths & Outcasts DLC		Доповнення «Міфи й вигнанці»			назва доповнення гри	Загальне	
legends_pariahs_dlc	Legends & Pariahs DLC		Доповнення «Легенди й парії»			назва доповнення гри	Загальне	
challenge_event	Challenge Event		Подія-випробування			подія-випробування	Механіки	
myconid	myconid	myconids	міконід			вид грибоподібних монстрів	Істоти	
salamander	salamander	salamanders	саламандра			вид монстрів	Істоти	
gremlin	gremlin	gremlins	гремлін			вид монстрів	Істоти	
lock	lock	locks|unlocks|[Locks]|[Unlock]|UNLOCK	замок			замок, який можна скинути	Механіки	
key	key	KEYS	ключ			ключ	Предмети	
button	button	BUTTONS	кнопка			інтерактивна кнопка	Механіки	
jar	jar		глек			розбивна посудина	Предмети	
basket	basket		кошик			розбивний контейнер	Предмети	
casket	casket		труна			скринька або домовина	Предмети	
cage	cage		клітка			клітка	Предмети	
urn	urn		урна			розбивна посудина	Предмети	
sack	sack	Sacks	мішок			мішок-контейнер	Предмети	
sarcophagus	sarcophagus		саркофаг			саркофаг	Предмети	
pot	pot		горщик			розбивний горщик	Предмети	
cart	cart		візок			візок	Предмети	
pallet	pallet		піддон			піддон	Предмети	
crate	crate		ящик			ящик-контейнер	Предмети	
tent	tent		намет			намет	Предмети	
reliquary	reliquary		релікварій			релікварій	Предмети	
bulb	bulb		цибулина			цибулина або колба	Предмети	
iron_maiden	iron maiden		залізна діва			залізна діва	Предмети	
wheelbarrow	wheelbarrow		тачка			тачка	Предмети	
cabinet	cabinet		шафа			шафа-контейнер	Предмети	
capsule	capsule		капсула			капсула	Предмети	
barrel	barrel		бочка			бочка	Предмети	
stump	stump		пень			пень	Предмети	
grease	grease		мастило			слизька речовина-пастка	Механіки	
magma	magma		магма			небезпечна речовина	Механіки	
corrosive_sludge	corrosive sludge		їдкий слиз			їдка речовина-пастка	Механіки	
slippery	slippery	[Slippery]	слизький			ефект слизьких рук	Механіки	
miss	Miss		Промах			результат невлучної атаки	Механіки	
bugbear	Bugbear	bugbears|Bugbear's	багбір			монстр-багбір	Істоти	
daedalus	Daedalus		Дедал			власне ім'я, якому присвячене святилище	Персонажі	
bell	bell	BELLS	дзвін			дзвін	Предмети	
clapper	clapper		язик дзвона			язик дзвона	Предмети	
stamina	Stamina		витривалість			характеристика витривалості	Механіки	
agility	Agility		спритність			характеристика спритності	Механіки	
mentality	Mentality		ментальність			характеристика ментальності	Механіки	
projectile	projectile	projectiles|[Projectile]|[Projectiles]	снаряд			летючий снаряд	Механіки	
thief	Thief		злодій			клас або роль злодія	Класи	
enchant_weapon	Enchant Weapon		зачарування зброї			закляття зачарування зброї	Закляття	
enchant_armor	Enchant Armor		зачарування обладунку			закляття зачарування обладунку	Закляття	
blessing	blessing	blessings	благословення			рівень благословення предмета	Механіки	
assistance	Assistance	Assisted	допомога			система полегшення пригоди	Механіки	
score_penalty	Score Penalty		штраф до рахунку			штраф до підсумкового рахунку	Механіки	
character	Character	characters|character's	персонаж			ігровий персонаж	Механіки	
server	server		сервер			сервер мережевої гри	Механіки	
assist_item	Assist Item	ASSIST ITEMS	предмет допомоги			допоміжні стартові предмети	Предмети	
assist_shrine	Assist Shrine		святилище допомоги			святилище системи допомоги	Предмети	
difficulty	Difficulty		складність			складність гри	Механіки	
assistance_point	Assistance Point	Assistance points	очко допомоги			очки системи допомоги	Механіки	
dryad	Dryad	dryads|dryad-	дріада			дріада	Істоти	
stone	stone		камінь			тип замка	Механіки	
spirit	spirit	spirits	дух			тип замка	Механіки	
bronze	bronze	[Bronze]	бронза			тип замка	Механіки	
iron	iron	[Iron]	залізо			тип замка	Механіки	
silver	silver	[Silver]	срібло			тип замка	Механіки	
machine	machine		механізм			тип замка	Механіки	
song	song		пісня			ефект пісні	Механіки	
parry	parry	parries|parrying|[Parry]	парирування			парирування удару	Механіки	
proximity_effect	proximity effect		ефект відстані			просторове затухання голосу	Механіки	
guard	Guard	guards	охорона			захисна дія	Механіки	
protection	protection		захист			захисний ефект	Механіки	
ward	ward	warded	оберіг			захисне благословення	Механіки	
nimble_grace	nimble grace		спритна грація			благословення спритності	Механіки	
greater_might	greater might		велика міць			благословення сили	Механіки	
wise_counsel	wise counsel		мудра порада			благословення мудрості	Механіки	
sturdy_toughness	sturdy toughness		незламна витривалість			благословення витривалості	Механіки	
holy_wrath	holy wrath		священний гнів			священний каральний ефект	Механіки	
peril	peril	perils	небезпека			небезпеки, що виявляються здібністю	Механіки	
treasure	treasure	treasures	скарб			скарби	Предмети	
penance	penance		покута			покаяння	Механіки	
providence	providence	[Providence]	провидіння			божественна допомога	Механіки	
falling_bell	falling bell		падаючий дзвін			падаючий дзвін-пастка	Предмети	
divine_forces	Divine forces		божественні сили			божественна сила-навігатор	Механіки	
enemy	enemy	Enemies	ворог			ворожий персонаж або істота	Механіки	
holy_exorcism	holy exorcism		священний екзорцизм			священний екзорцизм	Закляття	
impurities	impurities		домішки			отрути та інші домішки	Механіки	
interrupt	interrupt	interrupted	переривання			переривання закляття	Механіки	
sustain_spell	sustain spell		підтримання закляття			підтримання активного закляття	Механіки	
ward_against_impurities	ward against impurities		оберіг від домішок			захист від домішок	Механіки	
noble_purpose	noble purpose		шляхетний поклик			благословення крові	Механіки	
holy_light	holy light		священне світло			священне світло на атаках	Механіки	
smite	smite	smites|[Smite]	священний удар			священний удар	Механіки	
alter_instrument	Alter Instrument	altered	зміна інструмента			закляття зміни інструмента	Закляття	
instrument	instrument	INSTRUMENTS	музичний інструмент			музичний інструмент	Предмети	
transmutation	transmutation	transmute|transforms|Transmutes Into|Transmuted|[Transmutes]	трансмутація			перетворення предмета	Механіки	
weaken	weaken	weakened|weak	ослаблення			ефект ослаблення	Механіки	
befuddle	befuddle	befuddled	спантеличення			ефект спантеличення	Механіки	
spell_focus	spell focus		сила заклять			сила або фокус заклять	Механіки	
humble	humble	humbles	упокорення			ефект приниження	Механіки	
will	will		воля			магічна сила волі	Механіки	
raw_magical_energy	raw magical energy		сира магічна енергія			необроблена магічна енергія	Механіки	
compelled	compelled	compel|compelling|[Compels]	примусове підкорення			стан примусового підкорення	Механіки	
metallurgy	Metallurgy		металургія			тип трансмутації	Механіки	
geomancy	Geomancy		геомантія			тип трансмутації	Механіки	
forge_key	Forge Key		викувати ключ			дія кування ключа	Механіки	
forge_jewel	Forge Jewel		викувати коштовність			дія кування коштовності	Механіки	
enhance_weapon	Enhance Weapon		покращити зброю			покращення зброї	Механіки	
reshape_weapon	Reshape Weapon		переформувати зброю			переформування зброї	Механіки	
alter_arrow	Alter Arrow		перетворити стрілу			перетворення стріли	Механіки	
void_chest	void chest		скриня Порожнечі			скриня, пов’язана з Порожнечею	Предмети	
void_mimic	void mimic		мімік Порожнечі			мімік Порожнечі	Істоти	
void	Void		Порожнеча			сховище Порожнечі	Механіки	
revenant_skull	revenant skull	revenant skulls|[Revenant Skull]	череп ревенанта			череп ревенанта	Істоти	
minimimic	minimimic	minimimics	міні-мімік			малий мімік	Істоти	
spirit_weapon	spirit weapon	[Spirit Weapon]	духовна зброя			оживлена духовна зброя	Предмети	
adorcised_possession	adorcised possession	adorcised possessions	одержимий предмет			оживлений закляттям предмет	Істоти	
flame_elemental	flame elemental	flame elementals|[Flame Elemental]	вогняний елементаль			вогняний елементаль	Істоти	
hologram	hologram	holograms|[Hologram]	голограма			голографічний двійник	Істоти	
moth	moth	moths	міль			міль	Істоти	
earth_sprite	earth sprite	earth sprites|[Earth Sprite]	земляний дух			земляний дух	Істоти	
duck	duck	ducks	качка			качка	Істоти	
monster_unused_6	monster_unused_6	monster_unused_6s	невикористаний монстр 6			невикористана службова назва монстра	Істоти	
monster_unused_7	monster_unused_7	monster_unused_7s	невикористаний монстр 7			невикористана службова назва монстра	Істоти	
monster_unused_8	monster_unused_8	monster_unused_8s	невикористаний монстр 8			невикористана службова назва монстра	Істоти	
adorcise	Adorcise	adorcised|[Adorcise]	одухотворення			закляття оживлення предмета	Закляття	
numb	Numb	numbed|[Numb]	оніміння			стан оніміння	Механіки	
delayed_pain	Delayed Pain	Delay Pain	відкладений біль			відкладене отримання болю	Механіки	
unstoppable	Unstoppable		нестримність			стан невразливої рішучості	Механіки	
courage	Courage		хоробрість			бойовий стан хоробрості	Механіки	
foe	foe	foes|foe's	ворог			ворожі цілі	Механіки	
encouraged	Encouraged		підбадьорення			стан підбадьорення	Механіки	
scapegoat	Scapegoat		цап-відбувайло			стан або роль цапа-відбувайла	Механіки	
spore_pod	spore pod	spore pods	спорова капсула			спорові нарости персонажа	Механіки	
provisions	provisions		провіант			запаси їжі	Предмети	
greater_abundance	Greater Abundance		великий достаток			посилене закляття достатку	Закляття	
abundance	Abundance		достаток			закляття достатку	Закляття	
magic_barrier	magic barrier		магічний бар'єр			магічний захисний бар’єр	Механіки	
sabotage	Sabotage	sabotaged	саботаж			саботування пастки	Механіки	
mist_form	mist form	mist	туманна форма			форма туману	Механіки	
demesne_door	demesne door		двері володіння			створені володінням двері	Предмети	
doorway	doorway		дверний прохід			дверний прохід	Предмети	
mothballed	mothballed		законсервований			стан вилучення або консервації	Механіки	
off_hand	off-hand	[Off-Hand]	друга рука			додаткова рука або комірка спорядження	Механіки	
defensive_force	defensive force		захисна сила			захисний ефект	Механіки	
magic_reflection	magic reflection	Magic reflect|[Magic Reflection]	відбиття магії			ефект відбиття магії	Механіки	
dizzied	dizzied		запаморочення			стан запаморочення	Механіки	
vandalize	Vandalize	vandalized	понівечити			дія осквернення предмета	Механіки	
desecrate	Desecrate	desecrated	осквернити			дія наруги над предметом	Механіки	
sanctify	Sanctify	sanctified	освятити			дія освячення предмета	Механіки	
cleanse	Cleanse	cleansed	очищення			дія очищення	Механіки	
bottle	bottle	bottles	пляшка			пляшка	Предмети	
well_of_magic	well of magic		магічне джерело			джерело магічної енергії	Механіки	
ritual_preparation	ritual preparation		ритуальна підготовка			підготовчий ритуальний ефект	Механіки	
flame_cloak	flame cloak	[Flame Cloak]	вогняний покров			вогняний захисний покрив	Закляття	
protective_flames	protective flames		захисне полум'я			захисний вогняний ефект	Механіки	
rooting_seed	rooting seed		укорінювальна насінина			насінина, що вкорінює ціль	Предмети	
poison_seed	poison seed		отруйна насінина			отруйна насінина	Предмети	
mushroom	mushroom	mushrooms|[Mushroom]	гриб			грибна істота	Істоти	
shimmering_dust	shimmering dust		мерехтливий пил			мерехтливий ефект або речовина	Механіки	
thick_fog	thick fog		густий туман			густий туман як ігровий ефект	Механіки	
telekinetic_force	telekinetic force		телекінетична сила			сила телекінезу	Механіки	
vortex	vortex		вихор			вихор, що захоплює ціль	Механіки	
leaves	Leaves		листя			листя як ігровий об'єкт або боєприпас	Предмети	
ensnared	ensnared		у пастці			стан знерухомлення пасткою	Механіки	
bolas	bolas		бола			метальна зброя для сплутування цілі	Предмети	
ration	ration	rations	пайок			порції провіанту	Предмети	
shrub	shrub	[Shrub]	кущ			кущ як об'єкт оточення	Предмети	
footlocker	footlocker		скриня			скриня або контейнер	Предмети	
weapon_rack	weapon rack		стійка для зброї			стійка для зброї	Предмети	
deserters_disciples	Deserters & Disciples		Дезертири й послідовники			назва доповнення	Загальне	
bard	bard	Bards|Bard's	бард			клас барда	Класи	
sapper	sapper	Sappers	сапер			клас сапера	Класи	
scion	scion	Scion's	нащадок			клас нащадка	Класи	
hermit	hermit	Hermits	відлюдник			клас відлюдника	Класи	
paladin	paladin	Paladin's	паладин			клас паладина	Класи	
thorns	Thorns	[Thorns]	шипи			захисний ефект шипів	Механіки	
bladevine	Bladevine	bladevines	лезолоза			захисні леза-лози	Механіки	
mycelium	Mycelium		міцелій			грибна система закріплення	Механіки	
root	Root	roots	корінь			корені, що закріплюють персонажа	Механіки	
revenant_skeleton	Revenant Skeleton	[Revenant Skeleton]	скелет-ревенант			скелет-ревенант	Істоти	
splinter	Splinter		розколювання			руйнування конструкції цілі	Механіки	
splintered_armor	Splintered Armor		розколота броня			стан розколотої броні	Механіки	
shattered_armor	Shattered Armor		розтрощена броня			стан зруйнованої броні	Механіки	
dresser	dresser		комод			предмет меблів	Предмети	
drawer	drawer		шухляда			шухляда меблів	Предмети	
candelabra	candelabra		канделябр			підсвічник	Предмети	
peace	Peace	[Peace]	мир			вид благословення	Механіки	
justice	Justice	[Justice]	справедливість			вид благословення	Механіки	
purity	Purity	[Purity]	чистота			вид благословення	Механіки	
sanctuary	Sanctuary	[Sanctuary]	прихисток			вид благословення	Механіки	
depleted	Depleted	deplete	вичерпаний			стан повного вичерпання заряду	Механіки	
icon	icon		ікона			священний предмет	Предмети	
stasis	Stasis	[Stasis]	стазис			ефект знерухомлення в часі	Механіки	
light	Light	[Light]	світло			створене магічне світло	Закляття	
tablet	tablet	tablets	кам'яна табличка			кам'яна табличка	Предмети	
velocity	Velocity		швидкість			швидкість руху об'єкта	Механіки	
resource	Resource	resources	ресурс			ресурси для виконання дії	Механіки	
absorb	Absorb	absorbs|[Absorbs]|absorption|[Absorb]	поглинання			поглинання атаки	Механіки	
absorbed_magic	Absorbed Magic		поглинута магія			накопичена поглинута магія	Механіки	
flame	Flame	flaming|flames|[Flames]	полум'я			вогняний ефект	Механіки	
magical_bubble	Magical Bubble		магічна бульбашка			захисна магічна бульбашка	Механіки	
divine_guard	Divine Guard		божественний захист			божественний захисний ефект	Механіки	
spirit_projection	Spirit Projection		проєкція духу			відокремлення духу від тіла	Механіки	
rot	Rot		гниль			ефект гниття	Механіки	
vandalism	Vandalism		вандалізм			ефект або бонус за руйнування	Механіки	
shrivel	Shrivel	shrivels	всихання			ефект зменшення цілі	Механіки	
enlarge	Enlarge	enlarged	збільшення			ефект збільшення розміру	Механіки	
diminish	Diminish	diminished|[Diminish]	зменшення			ефект зменшення розміру	Механіки	
stature	Stature		зріст			поточний розмір персонажа	Механіки	
scry	Scry		ясновидіння			магічний пошук цілей	Механіки	
spell_power	Spell Power	[Spell Power]	сила заклять			сила заклять	Механіки	
appearance	Appearance		вигляд			зовнішній вигляд персонажа	Механіки	
cauldron	Cauldron	Cauldrons	казан			казан для створення або взаємодії	Предмети	
dousing_flames	Dousing Flames		гасильне полум'я			ефект гасіння полум'я	Механіки	
fervor	Fervor		запал			накопичуваний бойовий запал	Механіки	
impervious_armor	Impervious Armor		невразлива броня			ефект невразливої броні	Механіки	
radiance	Radiance		сяйво			ефект сяйва	Механіки	
impervious_stone	Impervious Stone		непроникний камінь			непроникний кам'яний стан	Механіки	
temperance	Temperance		стриманість			ефект стриманості	Механіки	
symbol	Symbol	symbols	священний символ			священний символ	Предмети	
nutrition	Nutrition		живлення			живлення рослинності	Механіки	
prayer	Prayer	pray	молитва			молитовний ефект	Механіки	
healing_prayer	Healing Prayer		цілюща молитва			молитва зцілення	Механіки	
blood_ward	Blood Ward		кров'яний оберіг			кровний захисний ефект	Механіки	
poisoning	Poisoning		отруєння			стан отруєння	Механіки	
donation	Donation		пожертва			пожертва за божественну винагороду	Механіки	
divine_providence	Divine Providence		божественне провидіння			божественна винагорода	Механіки	
gift_of_divine_providence	Gift of Divine Providence		дар Божого Провидіння			дар божественного провидіння	Предмети	
divine_precision	Divine Precision		божественна точність			божественний бойовий ефект	Механіки	
divine_sigil	Divine Sigil		божественна сигіла			божественна сигіла, що покриває область	Закляття	
divine_sanctuary	Divine Sanctuary		божественне святилище			божественне святилище, що покриває область	Закляття	
dominate	Dominate	[Dominates]|Dominated|Dominating	підкорення			підкорення істот	Механіки	
creature	creature	creatures	істота			істоти, яких можна підкорити	Істоти	
curse_of_weakness	Curse of Weakness		прокляття слабкості			прокляття, що спричиняє слабкість	Механіки	
greater_curse_of_weakness	Greater Curse of Weakness		велике прокляття слабкості			посилене прокляття слабкості	Механіки	
influence	influence		вплив			ресурс для примушення цілей	Механіки	
workbench	workbench	workbenches	верстак			робоча станція	Предмети	
mailbox	mailbox		поштова скринька			поштова скринька	Предмети	
deserters_and_disciples	Deserters and Disciples		Дезертири й послідовники			назва доповнення	Загальне	
slop_ball	slop ball	Slop Balls	куля з помиїв			летючий снаряд із помиями	Предмети	
snowman	snowman	snowmen	сніговик			снігова істота	Істоти	
elf	elf	elfs	ельф			раса ельфів	Раси	
santa_s_helper	Santa's helper	Santa's helpers	помічник Санти			помічник Санти	Істоти	
blitzen	Blitzen		Блискавка			ім'я персонажа	Персонажі	
cupid	Cupid		Купідон			ім'я персонажа	Персонажі	
comet	Comet		Комета			ім'я персонажа	Персонажі	
dasher	Dasher		Спритник			ім'я персонажа	Персонажі	
dancer	Dancer		Танцюрист			ім'я персонажа	Персонажі	
donner	Donner		Грім			ім'я персонажа	Персонажі	
kringle	Kringle		Крінґл			ім'я персонажа	Персонажі	
father_xmas	Father Xmas		Батечко Різдво			ім'я різдвяного персонажа	Персонажі	
claus	Claus		Клаус			ім'я персонажа	Персонажі	
sanctus	Sanctus		Санктус			ім'я персонажа	Персонажі	
papa_noel	Papa Noel		Папа Ноель			ім'я різдвяного персонажа	Персонажі	
drummer	Drummer		Барабанщик			ім'я персонажа	Персонажі	
niklaus	Niklaus		Ніклаус			ім'я персонажа	Персонажі	
nicholas	Nicholas		Ніколас			ім'я персонажа	Персонажі	
nicolas	Nicolas		Нікола			ім'я персонажа	Персонажі	
prancer	Prancer		Гарцювальник			ім'я персонажа	Персонажі	
rudolph	Rudolph		Рудольф			ім'я різдвяного персонажа	Персонажі	
jack	Jack		Джек			ім'я персонажа	Персонажі	
santa	Santa		Санта			різдвяний персонаж	Персонажі	
st_nick	St.Nick		Святий Миколай			ім'я різдвяного персонажа	Персонажі	
nicolo	Nicolo		Ніколо			ім'я персонажа	Персонажі	
nikola	Nikola		Нікола			ім'я персонажа	Персонажі	
frosty	Frosty		Фрості			ім'я персонажа	Персонажі	
scrooge	Scrooge		Скрудж			ім'я персонажа	Персонажі	
ebenezer	Ebenezer		Ебенезер			ім'я персонажа	Персонажі	
yul	Yul		Юл			ім'я персонажа	Персонажі	
christmas	Christmas	Christmastime	Різдво			назва свята	Загальне	
portcullis	portcullis		підйомна решітка			декорована підйомна решітка	Предмети	
giant_snowball	giant snowball	giant snowballs	велетенська снігова куля			велика снігова куля	Предмети	
christmas_tree	Christmas tree	christmas trees	різдвяна ялинка			різдвяне дерево	Предмети	
mistletoe	Mistletoe		омела			омела	Предмети	
nargle	Nargle	nargles	нарґл			вигадані істоти, що живуть в омелі	Істоти	
sleigh	Sleigh		сани			сани Санти	Предмети	
last_year_s	last year's	last year	торішній			сезонний модифікатор предмета	Механіки	
leftover	leftover		залишковий			сезонний модифікатор предмета	Механіки	
re_gifted	re-gifted		передарований			сезонний модифікатор предмета	Механіки	
naughty_list	Naughty List		список нечемних			список неслухняних Санти	Механіки	
holiday_element	Holiday Element	holiday elements	святковий елемент			святковий сюжетний елемент	Предмети	
